"sample","ratio","condition","amino_acid","batch","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration"
"28",1.52,4.11,"Arg",1,0.05,30.4,124.8618,"T",0,24,1,233.3658,0.535047551954914,0.69905216,699.05216,NA,NA,374.026146896795
"29",1.88,4.11,"Arg",1,0.05,37.6,154.3716,"T",100,24,1,233.3658,0.661500528355055,0.69905216,699.05216,NA,NA,462.423373187742
"30",1.73,4.11,"Arg",1,0.05,34.6,142.206,"T",1000,24,1,233.3658,0.609369496301515,0.69905216,699.05216,NA,NA,425.981062627686
"1",1.85,2.01,"Cys",1,0.05,36.9,74.169,"TM",0,16,1,62.3904,1.18878865979381,0.09977272,99.77272,NA,NA,118.608678092783
"2",3.08,2.01,"Cys",1,0.05,61.5,123.6954,"TM",100,16,1,62.3904,1.98260309278351,0.09977272,99.77272,NA,NA,197.809703247423
"3",1.85,2.01,"Cys",1,0.05,36.9,74.2092,"TM",1000,16,1,62.3904,1.18943298969072,0.09977272,99.77272,NA,NA,118.672964639175
"4",2.12,2.01,"Cys",1,0.05,42.3,85.0632,"TM",0,18,1,62.3904,1.36340206185567,0.09977272,99.77272,NA,NA,136.030332164948
"5",1.38,2.01,"Cys",1,0.05,27.5,55.275,"TM",100,18,1,62.3904,0.885953608247423,0.09977272,99.77272,NA,NA,88.3940012886598
"6",1.36,2.01,"Cys",1,0.05,27.1,54.5112,"TM",1000,18,1,62.3904,0.873711340206186,0.09977272,99.77272,NA,NA,87.1725569072165
"7",1.86,2.01,"Cys",1,0.05,37.2,74.8524,"TM",0,20,1,62.3904,1.19974226804124,0.09977272,99.77272,NA,NA,119.701549381443
"8",3.95,2.01,"Cys",1,0.05,79,158.7096,"TM",100,20,1,62.3904,2.54381443298969,0.09977272,99.77272,NA,NA,253.803285154639
"9",1.49,2.01,"Cys",1,0.05,29.7,59.7372,"TM",1000,20,1,62.3904,0.957474226804124,0.09977272,99.77272,NA,NA,95.5298079381443
"10",1.97,2.01,"Cys",1,0.05,39.5,79.3548,"TM",0,22,1,62.3904,1.27190721649485,0.09977272,99.77272,NA,NA,126.90164257732
"11",2.21,2.01,"Cys",1,0.05,44.2,88.8822,"TM",100,22,1,62.3904,1.42461340206186,0.09977272,99.77272,NA,NA,142.137554072165
"12",2.27,2.01,"Cys",1,0.05,45.5,91.3746,"TM",1000,22,1,62.3904,1.4645618556701,0.09977272,99.77272,NA,NA,146.123319948454
"13",1.7,2.01,"Cys",1,0.05,33.9,68.1792,"TM",0,24,1,62.3904,1.09278350515464,0.09977272,99.77272,NA,NA,109.029982680412
"14",2.21,2.01,"Cys",1,0.05,44.2,88.842,"TM",100,24,1,62.3904,1.42396907216495,0.09977272,99.77272,NA,NA,142.073267525773
"15",2.38,2.01,"Cys",1,0.05,47.5,95.5152,"TM",1000,24,1,62.3904,1.53092783505155,0.09977272,99.77272,NA,NA,152.744834226804
"16",1.65,2.01,"Cys",1,0.05,33,66.33,"T",0,16,1,62.3904,1.06314432989691,0.09977272,99.77272,NA,NA,106.072801546392
"17",1.84,2.01,"Cys",1,0.05,36.7,73.8072,"T",100,16,1,62.3904,1.18298969072165,0.09977272,99.77272,NA,NA,118.030099175258
"18",1.51,2.01,"Cys",1,0.05,30.3,60.8628,"T",1000,16,1,62.3904,0.975515463917526,0.09977272,99.77272,NA,NA,97.3298312371134
"19",1.92,2.01,"Cys",1,0.05,38.3,77.0634,"T",0,18,1,62.3904,1.23518041237113,0.09977272,99.77272,NA,NA,123.23730943299
"20",2.81,2.01,"Cys",1,0.05,56.2,113.0424,"T",100,18,1,62.3904,1.81185567010309,0.09977272,99.77272,NA,NA,180.773768453608
"21",1.45,2.01,"Cys",1,0.05,29,58.29,"T",1000,18,1,62.3904,0.934278350515464,0.09977272,99.77272,NA,NA,93.2154922680412
"22",1.67,2.01,"Cys",1,0.05,33.4,67.2144,"T",0,20,1,62.3904,1.07731958762887,0.09977272,99.77272,NA,NA,107.48710556701
"23",1.83,2.01,"Cys",1,0.05,36.5,73.4052,"T",100,20,1,62.3904,1.17654639175258,0.09977272,99.77272,NA,NA,117.38723371134
"24",2.53,2.01,"Cys",1,0.05,50.7,101.8668,"T",1000,20,1,62.3904,1.63273195876289,0.09977272,99.77272,NA,NA,162.902108556701
"25",1.18,2.01,"Cys",1,0.05,23.7,47.5566,"T",0,22,1,62.3904,0.762242268041237,0.09977272,99.77272,NA,NA,76.0509843814433
"26",1.39,2.01,"Cys",1,0.05,27.8,55.9584,"T",100,22,1,62.3904,0.896907216494845,0.09977272,99.77272,NA,NA,89.4868725773196
"27",2.04,2.01,"Cys",1,0.05,40.9,82.1286,"T",1000,22,1,62.3904,1.31636597938144,0.09977272,99.77272,NA,NA,131.337414278351
"28",1.92,2.01,"Cys",1,0.05,38.4,77.184,"T",0,24,1,62.3904,1.23711340206186,0.09977272,99.77272,NA,NA,123.430169072165
"29",1.03,2.01,"Cys",1,0.05,20.7,41.5266,"T",100,24,1,62.3904,0.665592783505155,0.09977272,99.77272,NA,NA,66.4080024226804
"30",1.32,2.01,"Cys",1,0.05,26.5,53.1846,"T",1000,24,1,62.3904,0.852448453608248,0.09977272,99.77272,NA,NA,85.0511008762887
"1",4.52,4.02,"Lys",1,0.05,90.4,363.4884,"TM",0,16,1,452.7324,0.802876931273309,0.4986339,498.6339,NA,NA,400.341655460842
"2",5.89,4.02,"Lys",1,0.05,118,473.3148,"TM",100,16,1,452.7324,1.04546261765228,0.4986339,498.6339,NA,NA,521.303102344166
"3",7.57,4.02,"Lys",1,0.05,151,608.8692,"TM",1000,16,1,452.7324,1.34487657609661,0.4986339,498.6339,NA,NA,670.601052157699
"4",5.93,4.02,"Lys",1,0.05,119,476.4504,"TM",0,18,1,452.7324,1.05238856331025,0.4986339,498.6339,NA,NA,524.756613638785
"5",4.84,4.02,"Lys",1,0.05,96.8,389.2164,"TM",100,18,1,452.7324,0.859705203338661,0.4986339,498.6339,NA,NA,428.67815839105
"6",6.37,4.02,"Lys",1,0.05,127,511.9872,"TM",1000,18,1,452.7324,1.13088261410052,0.4986339,498.6339,NA,NA,563.896408311135
"7",5.52,4.02,"Lys",1,0.05,110,443.9688,"TM",0,20,1,452.7324,0.980642869827739,0.4986339,498.6339,NA,NA,488.981778689398
"8",6.64,4.02,"Lys",1,0.05,133,533.7756,"TM",100,20,1,452.7324,1.17900905700586,0.4986339,498.6339,NA,NA,587.893884230155
"9",4.53,4.02,"Lys",1,0.05,90.5,363.8904,"TM",1000,20,1,452.7324,0.80376487302433,0.4986339,498.6339,NA,NA,400.784413319126
"10",5.13,4.02,"Lys",1,0.05,103,412.05,"TM",0,22,1,452.7324,0.910140294796661,0.4986339,498.6339,NA,NA,453.826804741609
