timepoint,EV_0_1,EV_100_1,EV_1000_1,TP53R175H_0_1,TP53R175H_100_1,TP53R175H_1000_1,EV_0_2,EV_100_2,EV_1000_2,TP53R175H_0_2,TP53R175H_100_2,TP53R175H_1000_2,EV_0_3,EV_100_3,EV_1000_3,TP53R175H_0_3,TP53R175H_100_3,TP53R175H_1000_3,MYC_0_1,MYC_100_1,MYC_1000_1,TM_0_1,TM_100_1,TM_1000_1,MYC_0_2,MYC_100_2,MYC_1000_2,TM_0_2,TM_100_2,TM_1000_2,MYC_0_3,MYC_100_3,MYC_1000_3,TM_0_3,TM_100_3,TM_1000_3
45,83.87019,81.21096,86.41129,84.00069,86.16082,84.8707,83.65267,85.30364,87.15055,87.99332,89.76093,86.1908,85.38539,85.70676,88.87964,88.67367,90.62685,88.84424,88.58871,93.71283,93.67049,92.82764,85.15199,90.57416,89.87899,93.47211,88.11831,94.89252,89.4485,90.2915,85.9007,90.2131,87.95093,80.25606,74.41747,80.71442
46,84.7416,82.50694,87.54138,84.97478,86.77485,85.65977,84.4196,86.74002,88.09454,88.82946,90.34469,86.92778,86.0657,86.91181,89.40809,89.10394,91.37032,89.90736,89.3301,94.04916,94.01311,93.19379,85.47697,91.39546,91.40225,93.75788,88.57594,95.27384,90.17923,90.91706,86.74851,90.93328,88.55864,82.33144,75.40141,81.58673
47,85.8374,83.51336,88.11762,86.07663,87.64597,86.48562,85.7451,87.97274,88.7183,89.59867,90.80895,87.98086,87.1108,87.70549,90.0357,89.79939,91.80274,90.55303,90.19928,94.6205,94.38668,94.10679,85.83857,92.24435,91.83681,94.30833,89.51882,95.67439,90.73267,91.26782,87.88979,91.47781,89.81881,83.53487,76.56274,82.39568
48,86.48438,84.12737,89.17233,86.99574,88.43411,87.57294,86.56679,88.63505,89.88,90.62514,91.63834,88.48233,87.79253,88.52135,90.63979,90.73447,92.25623,91.46545,90.67336,94.95151,95.04366,94.56504,87.11125,93.1105,92.26598,94.83159,90.1856,96.30264,91.35305,92.39094,89.00483,92.34989,90.53491,85.00532,77.45995,83.42838
49,87.37235,85.22988,89.92147,87.88681,89.18773,88.42617,87.48977,89.27399,90.25393,91.34236,92.18494,89.26469,88.51837,88.94728,91.18348,91.32296,92.76485,91.6483,91.3881,95.22966,95.87512,95.2484,87.69135,93.4272,92.884,95.30691,90.50502,96.96074,91.92458,92.93394,89.83671,92.37532,91.83163,86.49204,78.73764,84.77529
50,88.127,85.98598,90.43302,88.72797,89.84541,88.98038,88.69669,90.1148,90.95464,92.05925,92.8225,89.84735,89.30662,89.69392,92.12705,92.00384,93.26338,92.22502,91.83218,95.66637,96.12995,95.84644,88.86942,94.05048,93.00308,95.65553,91.2071,97.41891,92.46533,93.1958,90.21703,92.90333,92.10171,88.02566,80.37969,85.58403
51,89.13289,87.02469,91.4233,89.4869,90.5982,90.10444,89.62112,90.78332,91.77913,92.61073,93.35151,90.40936,90.02266,90.36273,92.44073,92.37505,93.42397,92.73438,92.59435,96.0787,96.11095,96.08292,88.80665,94.3935,93.96041,96.07571,91.57596,97.22674,92.5905,93.5818,91.5091,93.70026,92.31052,88.28789,80.46712,85.91645
52,89.38059,87.43659,91.6992,89.89675,90.80508,90.66611,89.69682,90.78242,91.96361,93.11472,93.20328,90.88797,90.32225,90.53368,92.68713,92.70957,93.45982,92.82844,92.77568,96.14307,96.66212,96.24087,89.15114,94.65932,94.09579,96.057,92.21388,97.33489,92.83945,94.26919,91.28793,93.71235,92.27785,89.30531,81.25088,86.52608
53,89.68984,88.22999,92.03027,90.45748,91.39236,91.53197,90.55268,91.58032,92.77664,93.62061,93.98348,91.98408,90.98287,91.05956,93.52059,93.43246,93.97483,93.58403,93.48468,96.54342,97.20766,96.63412,89.93439,95.33517,94.3748,96.58412,93.03059,97.76284,93.60645,94.43627,92.38968,94.11839,92.76407,90.26759,82.41101,88.01281
54,90.52441,89.08741,92.52018,91.07221,92.27142,92.07662,90.98426,92.17053,93.25507,94.09304,94.21308,92.44667,91.77132,91.51151,93.43376,93.5302,94.0433,93.81895,93.96468,96.69042,97.48542,97.01136,90.47206,95.39373,94.69378,96.79439,93.59486,97.90845,94.31608,95.01223,93.03003,94.63086,93.79173,91.80399,83.06844,88.57095
