rxn,rxnName,subsystem,associated_genes,mean_sample_TP53R248Q_MYC_0,mean_sample_TP53R248Q_MYC_1000,std_sample_TP53R248Q_MYC_0,std_sample_TP53R248Q_MYC_1000,ks_stats,ks_pVal,cohen_effect,log2FC,raw_diff,mets_in,mets_out
MAR00104,"C161 Transport into the Mitochondria",Fatty acid oxidation,ENSG00000157184,0.472756619023041,0.040661764301083,1.21103178402768,0.583236392511523,-0.899,0,0.454614766482846,3.53935293762581+0i,0.432094854721958,MAM01597m; MAM02117m,MAM00051m; MAM02348m
MAR00105,"C161 Transport into the Mitochondria",Fatty acid oxidation,ENSG00000178537,0.47272066233843,0.0405379538246155,1.21104000786227,0.583244842995418,-0.988,0,0.454703452220534,3.543642750481+0i,0.432182708513815,MAM02117c,MAM02117m
MAR02028,"Trans-Hexadec-2-Enoyl Coenzyme A Reductase",Fatty acid oxidation,ENSG00000115425 or ENSG00000116353,-0.473292551973395,-0.042052186974051,1.21094198335074,0.584875673988694,0.874,0,0.453502770096438,3.49247948248911+0i,-0.431240364999344,MAM02554m; MAM02678m,MAM00051m; MAM02039m; MAM02555m
MAR05304,"",Transport reactions,,-0.184149690521582,-0.453073698654702,0.300229188489576,0.590058425081757,-0.682,5.44413289363382e-205,0.57445446907739,-1.29886677083261+0i,0.268924008133119,MAM01752c,MAM01752m
MAR07801,"",Nucleotide metabolism,ENSG00000147853,-0.208001181797895,-0.507965522020186,0.212612506475086,0.756192175800954,-0.696,1.83503800001856e-213,0.54004661186163,-1.28813885257254+0i,0.299964340222291,MAM01285m; MAM01948m,MAM01334m; MAM02034m
MAR09073,"",Exchange/demand reactions,,0.265985541467097,0.764749148310401,0.282819614756715,0.849729039320017,0.926,0,0.787617631373496,-1.52363876972855+0i,-0.498763606843304,MAM02578e,
MAR05029,"",Transport reactions,ENSG00000059804 or ENSG00000109667 or ENSG00000117394 or ENSG00000133460 or ENSG00000136856 or ENSG00000160326,-3.47014304464247,-12.1147004592786,0.171906306135917,0.861117772299645,-1,0,13.9222453132,-1.80369169477524+0i,8.64455741463614,MAM01965c,MAM01965e
MAR09034,"",Exchange/demand reactions,,-3.47014304464247,-12.1147004592786,0.171906306135917,0.861117772299645,-1,0,13.9222453132,-1.80369169477524+0i,8.64455741463614,MAM01965e,
MAR04143,"Pyruvate:carbon-dioxide ligase (ADP-forming)",Pyruvate metabolism,ENSG00000173599,0.00204292162321041,0.21837261351247,0.0323165564049327,0.923121420665256,0.726,3.38111313019549e-232,0.331212209695422,-6.74001427042824+0i,-0.21632969188926,MAM01371m; MAM02046m; MAM02819m,MAM01285m; MAM02039m; MAM02633m; MAM02751m
MAR02225,"Free Diffusion",Transport reactions,,-0.150716570081707,0.218556476590711,0.389300519951412,0.923185991289946,0.98,0,0.521234451061711,-0.5361680924041+4.53236014182719i,-0.369273046672418,MAM02046c,MAM02046m
MAR04861,"",Transport reactions,ENSG00000151229,-7.24004051928524e-05,1.17967561321158,2.16371336281856e-05,1.12817254533117,0.578,1.92094891143142e-147,1.47886566433236,-13.9920329053256+4.53236014182719i,-1.17974801361677,MAM02171c,MAM02171e
MAR09361,"",Exchange/demand reactions,,-7.24004051928524e-05,1.17967561321158,2.16371336281856e-05,1.12817254533117,0.578,1.92094891143142e-147,1.47886566433236,-13.9920329053256+4.53236014182719i,-1.17974801361677,MAM02171e,
MAR08467,"",Nucleotide metabolism,ENSG00000162368,-0.00264076082903866,-0.25463124733183,0.0158383424626415,1.27570742619393,-0.997,0,0.279328076349674,-6.59131201763079+0i,0.251990486502791,MAM01424c; MAM03106c,MAM01590c; MAM03130c
MAR08465,"",Nucleotide metabolism,ENSG00000162368,0.00165934574914464,0.251356849342677,0.0158293226722858,1.27570759466778,0.997,0,0.276786323270743,-7.24297866763661+0i,-0.249697503593532,MAM01424c,MAM01590c; MAM01623c
MAR04774,"CTP:D-tagatose 6-phosphate 1-phosphotransferase",Galactose metabolism,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,-0.000730497467898024,-0.248257920364582,0.0158255717775229,1.27570788357444,-0.947,0,0.274380765893604,-8.40874475830061+0i,0.247527422896684,MAM01424c; MAM02039c; MAM02955c,MAM01623c; MAM01746c
MAR04775,"ITP:D-tagatose 6-phosphate 1-phosphotransferase",Galactose metabolism,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,-0.000730497467898024,-0.248257920364582,0.0158255717775229,1.27570788357444,-0.947,0,0.274380765893604,-8.40874475830061+0i,0.247527422896684,MAM01746c; MAM02193c,MAM02039c; MAM02161c; MAM02955c
MAR03969,"",Pyrimidine metabolism,ENSG00000130717 or ENSG00000143179,2.2980006488878e-05,0.247564177680679,0.000664329788584385,1.27570804668787,0.949,0,0.274417075629666,-13.3951357471382+0i,-0.24754119767419,MAM02193c; MAM03123c,MAM02039c; MAM02161c; MAM03114c
